name,time,flow_in,flow_out,pressure_in,pressure_out
branch0_seg0,7.6076076076076082e-02,1.7490000000000001e+02,1.7490000000137547e+02,2.9073302036719972e+04,2.9019580333304621e+04
branch0_seg0,7.7077077077077075e-02,1.7490000000000001e+02,1.7490000000048860e+02,2.9073302032922147e+04,2.9019580330272613e+04
branch0_seg0,7.8078078078078081e-02,1.7490000000000001e+02,1.7489999999921253e+02,2.9073302033578973e+04,2.9019580330633224e+04
branch0_seg0,7.9079079079079073e-02,1.7490000000000001e+02,1.7489999999896673e+02,2.9073302037325302e+04,2.9019580333489586e+04
branch0_seg0,8.0080080080080079e-02,1.7490000000000001e+02,1.7489999999986102e+02,2.9073302039701579e+04,2.9019580335423969e+04
branch0_seg0,8.1081081081081086e-02,1.7490000000000001e+02,1.7490000000076793e+02,2.9073302038380232e+04,2.9019580334515689e+04
branch0_seg0,8.2082082082082078e-02,1.7490000000000001e+02,1.7490000000071825e+02,2.9073302035331108e+04,2.9019580332160407e+04
branch0_seg0,8.3083083083083084e-02,1.7490000000000001e+02,1.7489999999991232e+02,2.9073302034063199e+04,2.9019580331085032e+04
branch0_seg0,8.4084084084084076e-02,1.7490000000000001e+02,1.7489999999932238e+02,2.9073302035653942e+04,2.9019580332242160e+04
branch0_seg0,8.5085085085085083e-02,1.7490000000000001e+02,1.7489999999954182e+02,2.9073302037978665e+04,2.9019580334061913e+04
branch0_seg0,8.6086086086086089e-02,1.7490000000000001e+02,1.7490000000021595e+02,2.9073302038453450e+04,2.9019580334506143e+04
branch0_seg0,8.7087087087087081e-02,1.7490000000000001e+02,1.7490000000055937e+02,2.9073302036850080e+04,2.9019580333309983e+04
branch0_seg0,8.8088088088088087e-02,1.7490000000000001e+02,1.7490000000025489e+02,2.9073302035188644e+04,2.9019580331994730e+04
branch0_seg0,8.9089089089089094e-02,1.7490000000000001e+02,1.7489999999972432e+02,2.9073302035249217e+04,2.9019580331978796e+04
branch0_seg0,9.0090090090090086e-02,1.7490000000000001e+02,1.7489999999956797e+02,2.9073302036707235e+04,2.9019580333083137e+04
branch0_seg0,9.1091091091091092e-02,1.7490000000000001e+02,1.7489999999989556e+02,2.9073302037797625e+04,2.9019580333962735e+04
branch0_seg0,9.2092092092092098e-02,1.7490000000000001e+02,1.7490000000028439e+02,2.9073302037415346e+04,2.9019580333714617e+04
branch0_seg0,9.3093093093093091e-02,1.7490000000000001e+02,1.7490000000031171e+02,2.9073302036190642e+04,2.9019580332773239e+04
branch0_seg0,9.4094094094094097e-02,1.7490000000000001e+02,1.7490000000000336e+02,2.9073302035554039e+04,2.9019580332245867e+04
branch0_seg0,9.5095095095095089e-02,1.7490000000000001e+02,1.7489999999973779e+02,2.9073302036094443e+04,2.9019580332631649e+04
branch0_seg0,9.6096096096096095e-02,1.7490000000000001e+02,1.7489999999979131e+02,2.9073302037059468e+04,2.9019580333381778e+04
branch0_seg0,9.7097097097097101e-02,1.7490000000000001e+02,1.7490000000005929e+02,2.9073302037357200e+04,2.9019580333642425e+04
branch0_seg0,9.8098098098098094e-02,1.7490000000000001e+02,1.7490000000022374e+02,2.9073302036770703e+04,2.9019580333210080e+04
branch0_seg0,9.9099099099099100e-02,1.7490000000000001e+02,1.7490000000012486e+02,2.9073302036058441e+04,2.9019580332649588e+04
branch0_seg0,1.0010010010010009e-01,1.7490000000000001e+02,1.7489999999990803e+02,2.9073302035998211e+04,2.9019580332577236e+04
branch0_seg0,1.0110110110110110e-01,1.7490000000000001e+02,1.7489999999982206e+02,2.9073302036555269e+04,2.9019580332996440e+04
branch0_seg0,1.0210210210210210e-01,1.7490000000000001e+02,1.7489999999993844e+02,2.9073302037043144e+04,2.9019580333386515e+04
branch0_seg0,1.0310310310310310e-01,1.7490000000000001e+02,1.7490000000010278e+02,2.9073302036953086e+04,2.9019580333336387e+04
branch0_seg0,1.0410410410410410e-01,1.7490000000000001e+02,1.7490000000013296e+02,2.9073302036468107e+04,2.9019580332966005e+04
branch0_seg0,1.0510510510510511e-01,1.7490000000000001e+02,1.7490000000001700e+02,2.9073302036164154e+04,2.9019580332718127e+04
branch0_seg0,1.0610610610610610e-01,1.7490000000000001e+02,1.7489999999990036e+02,2.9073302036337765e+04,2.9019580332838246e+04
branch0_seg0,1.0710710710710711e-01,1.7490000000000001e+02,1.7489999999990749e+02,2.9073302036731966e+04,2.9019580333142781e+04
branch0_seg0,1.0810810810810811e-01,1.7490000000000001e+02,1.7490000000001211e+02,2.9073302036893507e+04,2.9019580333279697e+04
branch0_seg0,1.0910910910910911e-01,1.7490000000000001e+02,1.7490000000008797e+02,2.9073302036685523e+04,2.9019580333128455e+04
branch0_seg0,1.1011011011011011e-01,1.7490000000000001e+02,1.7490000000005870e+02,2.9073302036385448e+04,2.9019580332893598e+04
branch0_seg0,1.1111111111111110e-01,1.7490000000000001e+02,1.7489999999997141e+02,2.9073302036326604e+04,2.9019580332837893e+04
branch0_seg0,1.1211211211211211e-01,1.7490000000000001e+02,1.7489999999992770e+02,2.9073302036535180e+04,2.9019580332993624e+04
branch0_seg0,1.1311311311311312e-01,1.7490000000000001e+02,1.7489999999996758e+02,2.9073302036748850e+04,2.9019580333162954e+04
branch0_seg0,1.1411411411411411e-01,1.7490000000000001e+02,1.7490000000003602e+02,2.9073302036739198e+04,2.9019580333163576e+04
branch0_seg0,1.1511511511511512e-01,1.7490000000000001e+02,1.7490000000005577e+02,2.9073302036550194e+04,2.9019580333020276e+04
branch0_seg0,1.1611611611611611e-01,1.7490000000000001e+02,1.7490000000001314e+02,2.9073302036410241e+04,2.9019580332907368e+04
branch0_seg0,1.1711711711711711e-01,1.7490000000000001e+02,1.7489999999996297e+02,2.9073302036460998e+04,2.9019580332940543e+04
branch0_seg0,1.1811811811811812e-01,1.7490000000000001e+02,1.7489999999995985e+02,2.9073302036619549e+04,2.9019580333062353e+04
branch0_seg0,1.1911911911911911e-01,1.7490000000000001e+02,1.7489999999999995e+02,2.9073302036700778e+04,2.9019580333129765e+04
branch0_seg0,1.2012012012012012e-01,1.7490000000000001e+02,1.7490000000003403e+02,2.9073302036629913e+04,2.9019580333079168e+04
branch0_seg0,1.2112112112112113e-01,1.7490000000000001e+02,1.7490000000002675e+02,2.9073302036505382e+04,2.9019580332982252e+04
branch0_seg0,1.2212212212212212e-01,1.7490000000000001e+02,1.7489999999999210e+02,2.9073302036467860e+04,2.9019580332949266e+04
branch0_seg0,1.2312312312312312e-01,1.7490000000000001e+02,1.7489999999997107e+02,2.9073302036544181e+04,2.9019580333005648e+04
branch0_seg0,1.2412412412412413e-01,1.7490000000000001e+02,1.7489999999998406e+02,2.9073302036635923e+04,2.9019580333077840e+04
branch0_seg0,1.2512512512512514e-01,1.7490000000000001e+02,1.7490000000001206e+02,2.9073302036642959e+04,2.9019580333086622e+04
